"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 13 13:06:21 GMT 2021","Sat Feb 13 13:06:22 GMT 2021","116","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
"broken","Sat Feb 13 13:06:23 GMT 2021","Sat Feb 13 13:06:23 GMT 2021","118","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
"broken","Sat Feb 13 13:06:19 GMT 2021","Sat Feb 13 13:06:19 GMT 2021","358","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Sat Feb 13 13:06:22 GMT 2021","Sat Feb 13 13:06:22 GMT 2021","0","tests","test_dynamic_controls","TestDynamicControls","","","test_remove_add_checkbox[remove]",""
"broken","Sat Feb 13 13:06:23 GMT 2021","Sat Feb 13 13:06:23 GMT 2021","0","tests","test_dynamic_controls","TestDynamicControls","","","test_enable_disable_text_field[enable]",""
"broken","Sat Feb 13 13:06:21 GMT 2021","Sat Feb 13 13:06:21 GMT 2021","116","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Feb 13 13:06:23 GMT 2021","Sat Feb 13 13:06:23 GMT 2021","122","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Feb 13 13:06:23 GMT 2021","Sat Feb 13 13:06:23 GMT 2021","0","tests","test_dynamic_controls","TestDynamicControls","","","test_remove_add_checkbox[add]",""
"broken","Sat Feb 13 13:06:24 GMT 2021","Sat Feb 13 13:06:24 GMT 2021","116","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
"broken","Sat Feb 13 13:06:22 GMT 2021","Sat Feb 13 13:06:22 GMT 2021","116","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Sat Feb 13 13:06:23 GMT 2021","Sat Feb 13 13:06:23 GMT 2021","0","tests","test_dynamic_controls","TestDynamicControls","","","test_enable_disable_text_field[disable]",""
